,stoptime_,end_station_id_,n2_,b2_,bikeid_,tripduration,starttime,stoptime,start_station_id,n1,b1,end_station_id,n2,b2,birth_year,gender,bikeid,usertype,starttime_time,over_45,day_start,id_x,docks_x,id_y,docks_y,time_lapsed,same_station
300603,2014-12-21 17:11:01,519.0,Murray Hill,Manhattan,21415.0,761,2014-12-21 19:52:52,2014-12-21 20:05:33,519,Murray Hill,Manhattan,447,Hell's Kitchen,Manhattan,1965.0,1,21415,Subscriber,1192,0,Sunday,519,61,447,31,0 days 02:41:51.000000000,True
302466,2014-12-21 20:05:33,447.0,Hell's Kitchen,Manhattan,21415.0,397,2014-12-22 07:16:18,2014-12-22 07:22:55,447,Hell's Kitchen,Manhattan,484,Midtown,Manhattan,1981.0,1,21415,Subscriber,436,0,Monday,447,31,484,44,0 days 11:10:45.000000000,True
307590,2014-12-22 07:22:55,484.0,Midtown,Manhattan,21415.0,569,2014-12-22 12:53:10,2014-12-22 13:02:39,484,Midtown,Manhattan,536,Kips Bay,Manhattan,1973.0,1,21415,Subscriber,773,0,Monday,484,44,536,26,0 days 05:30:15.000000000,True
308910,2014-12-22 13:02:39,536.0,Kips Bay,Manhattan,21415.0,506,2014-12-22 14:28:51,2014-12-22 14:37:17,536,Kips Bay,Manhattan,519,Murray Hill,Manhattan,1960.0,1,21415,Subscriber,868,0,Monday,536,26,519,61,0 days 01:26:12.000000000,True
309071,2014-12-22 14:37:17,519.0,Murray Hill,Manhattan,21415.0,419,2014-12-22 14:38:50,2014-12-22 14:45:49,519,Murray Hill,Manhattan,465,Theater District,Manhattan,1971.0,2,21415,Subscriber,878,0,Monday,519,61,465,39,0 days 00:01:33.000000000,True
309383,2014-12-22 14:45:49,465.0,Theater District,Manhattan,21415.0,1344,2014-12-22 14:58:22,2014-12-22 15:20:46,465,Theater District,Manhattan,265,Lower East Side,Manhattan,1954.0,2,21415,Subscriber,898,0,Monday,465,39,265,35,0 days 00:12:33.000000000,True
310525,2014-12-22 15:20:46,265.0,Lower East Side,Manhattan,21415.0,490,2014-12-22 16:29:13,2014-12-22 16:37:23,265,Lower East Side,Manhattan,263,Chinatown,Manhattan,1972.0,1,21415,Subscriber,989,0,Monday,265,35,263,31,0 days 01:08:27.000000000,True
311577,2014-12-22 16:37:23,263.0,Chinatown,Manhattan,21415.0,944,2014-12-22 17:25:38,2014-12-22 17:41:22,263,Chinatown,Manhattan,302,East Village,Manhattan,1965.0,1,21415,Subscriber,1045,0,Monday,263,31,302,23,0 days 00:48:15.000000000,True
323035,2014-12-22 17:41:22,302.0,East Village,Manhattan,21415.0,1476,2014-12-23 18:59:17,2014-12-23 19:23:53,462,Chelsea,Manhattan,311,Lower East Side,Manhattan,1981.0,1,21415,Subscriber,1139,0,Tuesday,462,47,311,13,1 days 01:17:55.000000000,False
323851,2014-12-23 19:23:53,311.0,Lower East Side,Manhattan,21415.0,679,2014-12-23 21:07:57,2014-12-23 21:19:16,311,Lower East Side,Manhattan,2010,SoHo,Manhattan,1990.0,1,21415,Subscriber,1267,0,Tuesday,311,13,2010,39,0 days 01:44:04.000000000,True
328711,2014-12-23 21:19:16,2010.0,SoHo,Manhattan,21415.0,414,2014-12-24 23:44:01,2014-12-24 23:50:55,2010,SoHo,Manhattan,161,Greenwich Village,Manhattan,1964.0,2,21415,Subscriber,1424,0,Wednesday,2010,39,161,35,1 days 02:24:45.000000000,True
328778,2014-12-24 23:50:55,161.0,Greenwich Village,Manhattan,21415.0,368,2014-12-25 00:37:42,2014-12-25 00:43:50,161,Greenwich Village,Manhattan,345,Greenwich Village,Manhattan,1985.0,1,21415,Subscriber,37,0,Thursday,161,35,345,35,0 days 00:46:47.000000000,True
329912,2014-12-25 00:43:50,345.0,Greenwich Village,Manhattan,21415.0,900,2014-12-25 12:20:08,2014-12-25 12:35:08,345,Greenwich Village,Manhattan,510,Theater District,Manhattan,,0,21415,Customer,740,0,Thursday,345,35,510,51,0 days 11:36:18.000000000,True
332885,2014-12-25 12:35:08,510.0,Theater District,Manhattan,21415.0,538,2014-12-25 19:48:10,2014-12-25 19:57:08,510,Theater District,Manhattan,529,Hell's Kitchen,Manhattan,1988.0,2,21415,Subscriber,1188,0,Thursday,510,51,529,41,0 days 07:13:02.000000000,True
334083,2014-12-25 19:57:08,529.0,Hell's Kitchen,Manhattan,21415.0,585,2014-12-26 07:28:16,2014-12-26 07:38:01,529,Hell's Kitchen,Manhattan,456,Midtown,Manhattan,1986.0,1,21415,Subscriber,448,0,Friday,529,41,456,35,0 days 11:31:08.000000000,True
491630,2014-12-26 07:38:01,456.0,Midtown,Manhattan,21415.0,550,2015-01-12 14:37:00,2015-01-12 14:46:00,236,East Village,Manhattan,151,Nolita,Manhattan,1987.0,1,21415,Subscriber,877,0,Monday,236,36,151,33,17 days 06:58:59.000000000,False
495266,2015-01-12 14:46:00,151.0,Nolita,Manhattan,21415.0,298,2015-01-12 19:27:00,2015-01-12 19:31:00,151,Nolita,Manhattan,348,SoHo,Manhattan,1991.0,1,21415,Subscriber,1167,0,Monday,151,33,348,42,0 days 04:41:00.000000000,True
